n_early_ironhull_ships = { #Un-used
    category = navy_heavy_ship
    copy_from = n_age_7_imperialism_heavy_ship
    buildable = no
    movement_speed = 8
    combat_speed = 10
    crew_size = 1
    hull_size = 360
    cannons = 100
    blockade_capacity = 2.5
    age = "age_7_imperialism"
}

n_ironclad = {
    category = navy_heavy_ship
    copy_from = n_age_7_imperialism_heavy_ship
    movement_speed = 8
    combat_speed = 12
    crew_size = 1.2
    hull_size = 500
    cannons = 360
    blockade_capacity = 2.5
    age = "age_7_imperialism"
}

n_pre_dreadnoughts = {
    category = navy_heavy_ship
    copy_from = n_age_7_imperialism_heavy_ship
    movement_speed = 10
    combat_speed = 16
    crew_size = 1.5
    hull_size = 725
    cannons = 520
    blockade_capacity = 4
    age = "age_7_imperialism"
}

n_dreadnoughts = {
    category = navy_heavy_ship
    copy_from = n_age_7_imperialism_heavy_ship
    movement_speed = 12
    combat_speed = 20
    crew_size = 1.8
    hull_size = 850
    cannons = 1000
    blockade_capacity = 7.5
    age = "age_7_imperialism"
}

n_battlecruisers = {
    category = navy_heavy_ship
    copy_from = n_age_7_imperialism_heavy_ship
    movement_speed = 16
    combat_speed = 26
    crew_size = 1.75
    hull_size = 625
    cannons = 875
    blockade_capacity = 7
    age = "age_7_imperialism"
}

n_late_dreadnoughts = {
    category = navy_heavy_ship
    copy_from = n_age_7_imperialism_heavy_ship
    movement_speed = 16
    combat_speed = 24
    crew_size = 2.25
    hull_size = 1100
    cannons = 1425
    blockade_capacity = 10
    age = "age_7_imperialism"
}

n_monitor = {
    category = navy_light_ship
    copy_from = n_age_7_imperialism_cruiser_ship
    movement_speed = 8
    combat_speed = 12
    crew_size = 0.75
    hull_size = 400
    cannons = 225
    blockade_capacity = 1.5
    age = "age_7_imperialism"
}

n_early_armor_cruiser = {
    category = navy_light_ship
    copy_from = n_age_7_imperialism_cruiser_ship
    movement_speed = 10
    combat_speed = 16
    crew_size = 0.5
    hull_size = 225
    cannons = 200
    blockade_capacity = 1.5
    age = "age_7_imperialism"
}

n_scout_cruiser = {
    category = navy_light_ship
    copy_from = n_age_7_imperialism_cruiser_ship
    movement_speed = 16
    combat_speed = 30
    crew_size = 0.6
    hull_size = 400
    cannons = 280
    blockade_capacity = 1.75
    age = "age_7_imperialism"
}

n_heavy_cruiser = {
    category = navy_light_ship
    copy_from = n_age_7_imperialism_cruiser_ship
    movement_speed = 14
    combat_speed = 27
    crew_size = 0.85
    hull_size = 550
    cannons = 415
    blockade_capacity = 2.25
    age = "age_7_imperialism"
}

n_torpedo_boat = {
    category = navy_galley
    copy_from = n_age_7_imperialism_light_ship
    movement_speed = 14
    combat_speed = 20
    crew_size = 0.250
    hull_size = 100
    cannons = 50
    blockade_capacity = 0.8
    age = "age_7_imperialism"
}

n_destroyer = {
    category = navy_galley
    copy_from = n_age_7_imperialism_light_ship
    movement_speed = 24
    combat_speed = 34
    crew_size = 0.325
    hull_size = 150
    cannons = 100
    blockade_capacity = 1.0
    age = "age_7_imperialism"
}

n_submarine = {
    buildable = no
    category = navy_galley
    copy_from = n_age_7_imperialism_light_ship
    movement_speed = 20
    combat_speed = 20
    crew_size = 0.250
    hull_size = 100
    cannons = 50
    blockade_capacity = 0.8
    age = "age_7_imperialism"
}

n_modern_transport = {
    category = navy_transport
    copy_from = n_age_7_imperialism_transport_ship
    movement_speed = 12
    combat_speed = 12
    crew_size = 0.15
    hull_size = 60
    cannons = 10
    transport_capacity = 4.0
    food_storage_per_strength = 60
    age = "age_7_imperialism"
}
